"""Date"""	"""Open"""	"""High"""	"""Low"""	"""Close"""	"""BTCVol"""	"""CurVol"""	"""WeightedP"""
05/02/2018 08:00	7955.98	7998.53	7731.1	7784.46	1677.93	13170873.12	7849.49
05/02/2018 09:00	7784.46	8029.13	7695	7878.27	1445.72	11410898.18	7892.9
05/02/2018 10:00	7876.42	7915.09	7599.99	7616.99	1724.26	13336739.03	7734.75
05/02/2018 11:00	7632.03	7725	7505.69	7559.99	2011.61	15295388.08	7603.57
05/02/2018 12:00	7550	7811.62	7505.69	7657.56	2043.32	15620442.83	7644.65
05/02/2018 13:00	7657.55	7757.02	7565.83	7650	1485	11371284.72	7657.45
05/02/2018 14:00	7637.27	7639.8	7289	7321.29	4201.97	31140133.68	7410.84
05/02/2018 15:00	7320.1	7486.98	7141	7326.59	2869.94	20981312.19	7310.71
05/02/2018 16:00	7349.9	7468.3	7235	7276.37	1065.06	7846007.25	7366.76
05/02/2018 17:00	7263	7330.93	7036	7036	1788.56	12829690.66	7173.21
05/02/2018 18:00	7036	7165.51	6865.66	6877.61	4000.12	27967778.5	6991.74
05/02/2018 19:00	6877.61	6983.56	6600	6630.03	4420.77	29922988.06	6768.72
05/02/2018 20:00	6624.79	7431.1	6600	7160.75	6163.85	43572651.47	7069.06
05/02/2018 21:00	7188.91	7300	6946.64	7100	2677.12	19075168.67	7125.25
05/02/2018 22:00	7100	7247.86	6792.28	6792.28	1562.86	10978833.53	7024.84
05/02/2018 23:00	6792.28	6929.32	6650	6874.27	1670.02	11356739.62	6800.35
06/02/2018 00:00	6878.65	7086.8	6826.28	6956.04	1880.95	13108497.98	6969.08
06/02/2018 01:00	6956.06	6971.18	6446	6446	3217	21246541.33	6604.47
06/02/2018 02:00	6446	6654.72	6337	6380.9	2347.22	15137906.06	6449.29
06/02/2018 03:00	6377.23	6389.45	6206	6331.03	3382.11	21256780.7	6285.06
06/02/2018 04:00	6331	6350	6100.1	6100.1	2341.87	14452072.79	6171.17
06/02/2018 05:00	6100.1	6591.79	6021.94	6477.28	4403.63	27663499.44	6281.98
06/02/2018 06:00	6480.5	6480.5	6070.44	6250.01	2666.14	16628296.81	6236.85
06/02/2018 07:00	6250.01	6349.47	5920.72	5962.31	2892.37	17623755.64	6093.2
06/02/2018 08:00	5977.59	6230.82	5962.31	6090.21	2866.14	17531646.27	6116.82
06/02/2018 09:00	6090.15	7003	6058.19	6670	4492.56	29742699.44	6620.43
06/02/2018 10:00	6670	6803.22	6381	6449.51	3561.36	23419077.52	6575.89
06/02/2018 11:00	6450	6526.28	6192.89	6455.01	1946.02	12282905.45	6311.82
06/02/2018 12:00	6455.01	6775.34	6390.82	6666	2141.4	14075685.49	6573.12
06/02/2018 13:00	6676.92	7193.77	6665.2	7151.17	3871.51	26840857.83	6932.91
06/02/2018 14:00	7165.04	7281.8	6881.31	7199	3550.77	25134027.11	7078.47
06/02/2018 15:00	7180.16	7486.98	7033.91	7308.01	3139.78	22860598.6	7280.95
06/02/2018 16:00	7329.31	7412.57	6966	7129.8	2089.56	14896549.9	7129.02
06/02/2018 17:00	7108.02	7129.87	6800	7004.41	2085.57	14426550.59	6917.33
06/02/2018 18:00	7002	7193.77	6964.01	7162.31	1133.17	8035197.13	7090.92
06/02/2018 19:00	7170	7615	7160.38	7549.57	2544.16	18934392.04	7442.31
06/02/2018 20:00	7549.5	7837.32	7453.69	7575	4935.04	37871398.16	7673.98
06/02/2018 21:00	7575	8150	7532.49	7800	6357.5	50349786.11	7919.75
06/02/2018 22:00	7800	7849	7490	7673	1630.32	12448606.4	7635.7
06/02/2018 23:00	7672.98	7909.75	7590.35	7737.37	1485.24	11537117.23	7767.83
07/02/2018 00:00	7737.26	7862.27	7480	7594.23	2353.73	17984889.46	7641.02
07/02/2018 01:00	7600	7780	7562.13	7615.18	1104.43	8454761.89	7655.32
07/02/2018 02:00	7635	7800	7340	7365.94	1509.32	11406899.55	7557.64
07/02/2018 03:00	7379.05	7449.68	7229.78	7275.04	1030.05	7539622.83	7319.67
07/02/2018 04:00	7274.58	7578.54	7213.8	7514.65	699.48	5166228.82	7385.77
07/02/2018 05:00	7514.65	7583.95	7358.02	7467.16	759.86	5676112.6	7469.98
07/02/2018 06:00	7479.69	7543.27	7302.35	7539.3	530.96	3938739.18	7418.11
07/02/2018 07:00	7539.3	7799.62	7375.65	7757	739.38	5663559.16	7659.89
